"expid","peakid","year","season","host","route1","route2","route3","route4","nation","leaders","sponsor","success1","success2","success3","success4","ascent1","ascent2","ascent3","ascent4","claimed","disputed","countries","approach","bcdate","smtdate","smttime","smtdays","totdays","termdate","termreason","termnote","highpoint","traverse","ski","parapente","camps","rope","totmembers","smtmembers","mdeaths","tothired","smthired","hdeaths","nohired","o2used","o2none","o2climb","o2descent","o2sleep","o2medical","o2taken","o2unkwn","othersmts","campsites","accidents","achievment","agency","comrte","stdrte","primrte","primmem","primref","primid"
"EVER66101","EVER","1966","1","2","""N Col (training, recon)""","","","","China","Xu Jing","","false","false","false","false","","","","","false","false","","","","","","0","0","  -   -","6","Abandoned at 8100 due to fatal fall","8100","false","false","false","5","0","20","0","1","60","0","0","false","true","false","true","false","false","false","false","false","","""BC(5120m),C1(5000m),C2(5500m),C3(5900m),C4(6500m),C5(7030m),xxx(8100m)""","1 confirmed dead in fall; rumored many others dead (24?) because of insufficient equipment and reliance on Mao thoughts","","","true","true","false","false","false",""
"EVER68101","EVER","1968","1","2","""N side (attempt reported, not confirmed)""","","","","China","","","false","false","false","false","","","","","false","false","","","","","","0","0","  -   -","13","","0","false","false","false","0","0","0","0","0","0","0","0","false","false","false","false","false","false","false","false","false","","","","","","false","false","false","false","false",""
"GAN160101","GAN1","1960","1","1","SE Ridge-E Peak","","","","UK","P. J. Wallace","","false","false","false","false","","","","","false","false","","Chilime Valley","5/7/60","5/31/60","","24","27","6/3/60","2","Reached E Summit (est. 6700m)","6700","false","false","false","0","0","1","0","0","3","0","0","false","false","true","false","false","false","false","false","false","Climbed Ganesh East Pk (1st ascent)","""BC(07/05),ABC(11/05),C1(12/05,5030m),C2(14/05,5700m),C3(30/05,6500m),E-Smt(31/05,6700m)""","","Reached E Summit on 05/31/60 (Wallace and Sherpas)","","false","false","false","false","false",""
"GHUN62301","GHUN","1962","3","1","N side","","","","UK","J. O. M. Roberts","","true","false","false","false","""1st,2nd""","","","","false","false","","Muri Gurja Khola","10/5/62","10/22/62","","17","0","  -   -","1","","6529","false","false","false","3","0","1","1","0","5","5","0","false","false","true","false","false","false","false","false","false","""Attempted Dhaulagiri VI (DHA6-623-01), Gustang South (GHUS-623-01)""","""BC,C1,C2(18/10,5400m),C3(21/10,5850m),Smt(22,24/10)""","","","","false","false","false","false","false",""
"GHUN65301","GHUN","1965","3","1","N side","","","","UK","John R. Sims","British Royal Air Force Dhaulagiri Expedition","true","false","false","false","""3rd,4th""","","","","false","false","","","9/19/65","10/17/65","","28","0","  -   -","1","","6529","false","false","false","2","0","5","4","0","8","0","0","false","false","true","false","false","false","false","false","false","Attempted Dhaulagiri VI (DHA6-653-01)","""BC(19/09,4025m),GlacierBC(4725m),C1(5360m),C2.ABC(05/10,5800m),Smt(17-18/10)""","","","","false","false","true","false","true","DHA665301"
"GHUN69301","GHUN","1969","3","1","N side","","","","Japan","Yoshimi Yakushi","Kitanippon Press & Kitanippon Broadcasting Company","true","false","false","false","5th","","","","false","false","","","10/4/69","10/30/69","","26","35","11/8/69","1","","6529","false","false","false","3","0","2","1","0","1","1","0","false","false","true","false","false","false","false","false","false","Climbed Gurja Himal (GURJ-693-01)","""BC(04/10,4100m),C1(09/10,4750m),C2A(14/10,5000m),C2B(18/10,5300m),C3.ABC(22/10,5750m),Smt(30/10)""","","","","false","false","true","true","true","GURJ69301"
"GHUS62301","GHUS","1962","3","1","N side","","","","UK","J. O. M. Roberts","","false","false","false","false","","","","","false","false","","","10/5/62","","","0","0","  -   -","5","Abandoned due to danger of falling ice","0","false","false","false","1","0","1","0","0","2","0","0","false","false","true","false","false","false","false","false","false","""Climbed Gustang North (GHUN-623-01), attempted Dhaulagiri VI (DHA6-623-01)""","""BC(05/10),C1,xxx""","","","","false","false","false","true","true","GHUN62301"
"MATA61101","MATA","1961","1","1","NW Col","","","","UK","John Tyson","","true","false","false","false","1st","","","","false","false","","Nepaljung->Jajarkot->Kaigaon","5/4/61","5/16/61","","12","0","  -   -","1","","5767","false","false","false","2","0","3","3","0","3","2","0","false","false","true","false","false","false","false","false","false","Climbed unnamed peak of Sisne Himal (1st ascent)","""BC(04/05),C1,C2,Smt(16/05)""","","","","false","false","false","false","false",""
"GIMM63101","GIMM","1963","1","1","W Ridge","","","","Japan","Ken Miyazawa","","false","false","false","false","","","","","false","false","","Dharan->Taplejung->Ghunsa","4/28/63","5/23/63","","25","0","  -   -","4","Abandoned at 7000m due to wind and snowstorm","7000","false","false","false","5","0","6","0","0","5","0","0","false","false","true","false","false","false","false","false","false","Attempted Taple Shikhar (TAPL-631-01); climbed Tsisima (TSIS-631-01) and Tsisima S Peak (both 1st ascents)","""BC(28/04,5100m),C1(5200m),C2(5600m),C3(14/05,6100m),C4(6600m),C5(23/05,7000m),xxx""","","","","false","false","false","false","false",""
"GLAC65101","GLAC","1965","1","1","S Ridge","","","","W Germany","Guenter Hauser","German Alpine Association","true","false","false","false","2nd","","","","false","false","","","4/6/65","5/29/65","1100","53","58","6/3/65","1","","7069","false","false","false","4","0","8","5","0","9","1","0","false","false","true","false","false","false","false","false","false","Climbed Gangapurna (GANG-651-01) and Tharpu Chuli (Tent Peak) (THAR-651-01); permit for Annapurna I (ANN1-651-01)","""BC(06/04,3750m),C1(19/05,4550m),C2(23/05,5250m),C3(26/05,5700m),C4(28/05,6400m),Smt(29/05)""","","","","false","false","true","true","true","GANG65101"
